title,author,isbn,copies
Ask Me Anything,Mignon Kulicke,712656389-2,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7809,""status"":""Borrowed""},{""copyNumber"":5118,""status"":""Available""},{""copyNumber"":3513,""status"":""Available""},{""copyNumber"":1120,""status"":""Available""},{""copyNumber"":1710,""status"":""Borrowed""},{""copyNumber"":1461,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":9424,""status"":""Available""},{""copyNumber"":7249,""status"":""Available""},{""copyNumber"":1491,""status"":""Available""},{""copyNumber"":5146,""status"":""Available""},{""copyNumber"":7090,""status"":""Borrowed""},{""copyNumber"":2673,""status"":""Borrowed""}]}]"
"Cheshire Murders, The",Wilburt Emlyn,306515020-4,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6185,""status"":""Borrowed""},{""copyNumber"":8916,""status"":""Borrowed""},{""copyNumber"":1441,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1170,""status"":""Available""},{""copyNumber"":8754,""status"":""Borrowed""},{""copyNumber"":7802,""status"":""Borrowed""}]}]"
"Good Thief, The",Nevil Habershaw,213079172-7,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8661,""status"":""Borrowed""},{""copyNumber"":4174,""status"":""Borrowed""}]}]"
Orphan,Jaynell Halden,694332606-6,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1522,""status"":""Available""},{""copyNumber"":8877,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9717,""status"":""Available""},{""copyNumber"":1311,""status"":""Borrowed""},{""copyNumber"":8838,""status"":""Borrowed""},{""copyNumber"":2375,""status"":""Available""},{""copyNumber"":3095,""status"":""Borrowed""}]}]"
Murder by Contract,Linus McMonies,210369148-2,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8265,""status"":""Available""},{""copyNumber"":6633,""status"":""Borrowed""}]}]"
Two Crimes (Dos crímenes),Ardenia Hasselby,557954388-3,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3213,""status"":""Borrowed""},{""copyNumber"":6379,""status"":""Borrowed""},{""copyNumber"":3342,""status"":""Available""},{""copyNumber"":6751,""status"":""Available""},{""copyNumber"":6308,""status"":""Borrowed""},{""copyNumber"":2464,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2551,""status"":""Borrowed""}]}]"
Date Movie,Giff Greeding,017039602-9,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2813,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":1995,""status"":""Available""},{""copyNumber"":2127,""status"":""Borrowed""},{""copyNumber"":1897,""status"":""Available""},{""copyNumber"":5242,""status"":""Borrowed""}]}]"
Little Odessa,Kandace Fautly,990525967-8,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7287,""status"":""Borrowed""},{""copyNumber"":7257,""status"":""Available""},{""copyNumber"":3424,""status"":""Borrowed""}]}]"
Empire of the Sun,Barret Harler,515630349-8,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5198,""status"":""Borrowed""},{""copyNumber"":5449,""status"":""Available""},{""copyNumber"":2790,""status"":""Borrowed""},{""copyNumber"":9998,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9649,""status"":""Borrowed""},{""copyNumber"":9706,""status"":""Borrowed""},{""copyNumber"":9202,""status"":""Borrowed""}]}]"
Skenbart: En film om tåg,Billy Piggin,513779505-4,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":2825,""status"":""Borrowed""},{""copyNumber"":2254,""status"":""Borrowed""},{""copyNumber"":9295,""status"":""Available""},{""copyNumber"":9815,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9199,""status"":""Borrowed""},{""copyNumber"":1836,""status"":""Available""},{""copyNumber"":1801,""status"":""Borrowed""}]}]"
Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance),Rita Baldazzi,263931062-3,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":2975,""status"":""Borrowed""},{""copyNumber"":4579,""status"":""Available""},{""copyNumber"":2977,""status"":""Borrowed""},{""copyNumber"":8510,""status"":""Borrowed""},{""copyNumber"":5940,""status"":""Borrowed""},{""copyNumber"":8625,""status"":""Borrowed""}]}]"
"Passage to India, A",Courtenay Brevitt,019101837-6,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":2123,""status"":""Available""},{""copyNumber"":9671,""status"":""Borrowed""},{""copyNumber"":6776,""status"":""Available""},{""copyNumber"":9121,""status"":""Available""},{""copyNumber"":5276,""status"":""Available""},{""copyNumber"":8489,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":2473,""status"":""Borrowed""},{""copyNumber"":2990,""status"":""Borrowed""},{""copyNumber"":7878,""status"":""Available""},{""copyNumber"":4640,""status"":""Available""},{""copyNumber"":3976,""status"":""Available""},{""copyNumber"":1061,""status"":""Available""}]}]"
A One-Way Trip to Antibes,Dyanna Hargraves,678497576-6,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8297,""status"":""Available""},{""copyNumber"":8033,""status"":""Available""},{""copyNumber"":5240,""status"":""Borrowed""},{""copyNumber"":9188,""status"":""Available""}]}]"
Get Out Your Handkerchiefs (Préparez vos mouchoirs),Juieta Spurgin,808358341-3,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":9873,""status"":""Available""},{""copyNumber"":5286,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":6453,""status"":""Available""},{""copyNumber"":9975,""status"":""Borrowed""}]}]"
Rio,Felita Burnyate,019354618-3,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":2467,""status"":""Available""}]}]"
Spaceballs,Gwen Forre,242049681-7,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7079,""status"":""Available""},{""copyNumber"":4975,""status"":""Borrowed""},{""copyNumber"":6975,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2025,""status"":""Borrowed""}]}]"
"Sadist, The",Lavinie Caisley,803090303-0,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3252,""status"":""Borrowed""},{""copyNumber"":8499,""status"":""Available""}]}]"
Monkey Business,Shaine Cardenosa,405151010-7,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8758,""status"":""Borrowed""},{""copyNumber"":3537,""status"":""Borrowed""},{""copyNumber"":4630,""status"":""Borrowed""},{""copyNumber"":4376,""status"":""Borrowed""},{""copyNumber"":7625,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5991,""status"":""Borrowed""}]}]"
Battle of the Bulge,Corinne Everix,498710040-1,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":9662,""status"":""Available""}]}]"
Madagascar,Jake Grealish,268913038-6,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":2262,""status"":""Available""},{""copyNumber"":5486,""status"":""Available""},{""copyNumber"":8620,""status"":""Borrowed""}]}]"
In Bed (En la cama),Bobbee Scoggin,193021781-1,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7812,""status"":""Borrowed""},{""copyNumber"":1038,""status"":""Available""},{""copyNumber"":8547,""status"":""Available""},{""copyNumber"":5450,""status"":""Borrowed""},{""copyNumber"":9703,""status"":""Borrowed""}]}]"
Kurt Cobain: Montage of Heck,Taylor Zouch,754388437-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3502,""status"":""Borrowed""},{""copyNumber"":5824,""status"":""Available""},{""copyNumber"":5288,""status"":""Borrowed""},{""copyNumber"":5982,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":8633,""status"":""Borrowed""},{""copyNumber"":8752,""status"":""Borrowed""},{""copyNumber"":5672,""status"":""Borrowed""},{""copyNumber"":5359,""status"":""Available""}]}]"
Johnny Angel,Farlie Chauvey,555529457-3,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8148,""status"":""Available""},{""copyNumber"":2526,""status"":""Available""},{""copyNumber"":6272,""status"":""Available""},{""copyNumber"":5909,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3114,""status"":""Borrowed""},{""copyNumber"":2532,""status"":""Available""},{""copyNumber"":6861,""status"":""Available""},{""copyNumber"":8537,""status"":""Available""},{""copyNumber"":2097,""status"":""Borrowed""}]}]"
"Match, The",Catlaina Jerzak,553345362-8,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1115,""status"":""Available""}]}]"
"Slave of Love, A (Raba lyubvi)",Shirlee Eblein,321356141-X,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4746,""status"":""Borrowed""},{""copyNumber"":8640,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8208,""status"":""Borrowed""},{""copyNumber"":3631,""status"":""Borrowed""},{""copyNumber"":3366,""status"":""Borrowed""},{""copyNumber"":5670,""status"":""Borrowed""},{""copyNumber"":7543,""status"":""Available""},{""copyNumber"":9332,""status"":""Available""}]}]"
Presenting Lily Mars,Weidar Blagburn,286976003-5,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":4482,""status"":""Available""}]}]"
Razortooth,Lucilia Maso,432365610-6,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6714,""status"":""Borrowed""},{""copyNumber"":6504,""status"":""Borrowed""},{""copyNumber"":5993,""status"":""Available""},{""copyNumber"":6515,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3942,""status"":""Available""},{""copyNumber"":6915,""status"":""Available""}]}]"
Touch of Evil,Elisabeth Parker,552417806-7,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3531,""status"":""Available""},{""copyNumber"":2073,""status"":""Available""},{""copyNumber"":9610,""status"":""Available""},{""copyNumber"":9360,""status"":""Borrowed""},{""copyNumber"":6451,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5643,""status"":""Available""},{""copyNumber"":4603,""status"":""Available""},{""copyNumber"":3095,""status"":""Available""},{""copyNumber"":8611,""status"":""Available""},{""copyNumber"":3576,""status"":""Borrowed""}]}]"
Light of Day,Koral Bursnell,177350431-2,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4696,""status"":""Available""},{""copyNumber"":7918,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":3177,""status"":""Available""},{""copyNumber"":4754,""status"":""Borrowed""}]}]"
PressPausePlay,Brad Fairhead,384319469-6,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3695,""status"":""Available""},{""copyNumber"":3864,""status"":""Available""},{""copyNumber"":8492,""status"":""Available""},{""copyNumber"":2320,""status"":""Borrowed""},{""copyNumber"":5639,""status"":""Borrowed""}]}]"
Volcano (Eldfjall),Shalne Barnby,017085989-4,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":3593,""status"":""Borrowed""},{""copyNumber"":7455,""status"":""Borrowed""},{""copyNumber"":5807,""status"":""Borrowed""},{""copyNumber"":8041,""status"":""Available""},{""copyNumber"":9118,""status"":""Available""},{""copyNumber"":8098,""status"":""Available""}]}]"
Goodbye World,Perren Plesing,628848737-6,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8211,""status"":""Available""}]}]"
Deadline at Dawn,Ben D'Aubney,173325498-6,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7657,""status"":""Borrowed""},{""copyNumber"":7583,""status"":""Available""},{""copyNumber"":2040,""status"":""Borrowed""}]}]"
William Shakespeare's A Midsummer Night's Dream,Sandi Wase,526126632-7,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9503,""status"":""Available""},{""copyNumber"":2981,""status"":""Available""},{""copyNumber"":7554,""status"":""Available""},{""copyNumber"":3085,""status"":""Available""},{""copyNumber"":9692,""status"":""Borrowed""},{""copyNumber"":3009,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5558,""status"":""Available""},{""copyNumber"":3642,""status"":""Available""},{""copyNumber"":8357,""status"":""Borrowed""},{""copyNumber"":4786,""status"":""Borrowed""},{""copyNumber"":7361,""status"":""Available""},{""copyNumber"":6611,""status"":""Borrowed""}]}]"
"Ox-Bow Incident, The",Shaw Jakovijevic,152255751-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3538,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6300,""status"":""Borrowed""},{""copyNumber"":6573,""status"":""Available""}]}]"
Sabah,Barbabas Kleynermans,981819932-4,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6977,""status"":""Available""},{""copyNumber"":7009,""status"":""Available""},{""copyNumber"":1578,""status"":""Borrowed""},{""copyNumber"":1101,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5249,""status"":""Available""},{""copyNumber"":5302,""status"":""Borrowed""},{""copyNumber"":1847,""status"":""Available""}]}]"
Mulholland Falls,Ailis Clough,961374947-0,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9311,""status"":""Available""},{""copyNumber"":4453,""status"":""Available""},{""copyNumber"":6785,""status"":""Available""},{""copyNumber"":9572,""status"":""Borrowed""},{""copyNumber"":9505,""status"":""Borrowed""},{""copyNumber"":2800,""status"":""Borrowed""}]}]"
Flesh & Blood,Alexandros Leversuch,994446618-2,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5967,""status"":""Available""},{""copyNumber"":6073,""status"":""Borrowed""},{""copyNumber"":6620,""status"":""Available""}]}]"
Jane Austen in Manhattan,Sheila Camilletti,169750444-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2156,""status"":""Available""},{""copyNumber"":8663,""status"":""Borrowed""}]}]"
"Rewrite, The",Peder Lehon,723542312-9,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":2454,""status"":""Borrowed""},{""copyNumber"":8481,""status"":""Available""},{""copyNumber"":2264,""status"":""Borrowed""},{""copyNumber"":3070,""status"":""Borrowed""},{""copyNumber"":4493,""status"":""Borrowed""},{""copyNumber"":7249,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7005,""status"":""Available""},{""copyNumber"":4930,""status"":""Borrowed""}]}]"
Ken Park,Felicle Calendar,735275447-4,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5317,""status"":""Available""},{""copyNumber"":1282,""status"":""Available""},{""copyNumber"":2091,""status"":""Available""},{""copyNumber"":2972,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4166,""status"":""Available""}]}]"
Brick Lane,Eyde Menichino,147427710-1,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8808,""status"":""Borrowed""},{""copyNumber"":4015,""status"":""Borrowed""},{""copyNumber"":9478,""status"":""Borrowed""},{""copyNumber"":3708,""status"":""Available""},{""copyNumber"":3713,""status"":""Available""}]}]"
Casting By,Archie Gomme,531013484-0,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":4119,""status"":""Borrowed""},{""copyNumber"":6464,""status"":""Borrowed""},{""copyNumber"":6668,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3803,""status"":""Available""},{""copyNumber"":4342,""status"":""Available""},{""copyNumber"":2739,""status"":""Borrowed""},{""copyNumber"":8972,""status"":""Available""},{""copyNumber"":7427,""status"":""Available""}]}]"
"Strange Love of Martha Ivers, The",Teriann Grenkov,430285017-5,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9626,""status"":""Available""},{""copyNumber"":4702,""status"":""Borrowed""},{""copyNumber"":8285,""status"":""Borrowed""},{""copyNumber"":6428,""status"":""Borrowed""},{""copyNumber"":6872,""status"":""Borrowed""},{""copyNumber"":1031,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":9851,""status"":""Available""},{""copyNumber"":7424,""status"":""Available""},{""copyNumber"":3323,""status"":""Available""},{""copyNumber"":5022,""status"":""Borrowed""},{""copyNumber"":2280,""status"":""Borrowed""},{""copyNumber"":8233,""status"":""Borrowed""}]}]"
Athena,Mauricio Lightbowne,739192718-X,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8045,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1067,""status"":""Borrowed""}]}]"
"Hunting Party, The",Carrissa Rea,363433865-2,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8367,""status"":""Available""}]}]"
Dead Men Walk,Aurora Mimmack,657777880-9,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6070,""status"":""Available""},{""copyNumber"":6506,""status"":""Borrowed""},{""copyNumber"":1846,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5655,""status"":""Borrowed""},{""copyNumber"":7394,""status"":""Borrowed""},{""copyNumber"":7271,""status"":""Available""},{""copyNumber"":5850,""status"":""Available""},{""copyNumber"":7559,""status"":""Borrowed""},{""copyNumber"":2747,""status"":""Available""}]}]"
Forever Young,Isa McAughtrie,346752412-5,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5503,""status"":""Borrowed""},{""copyNumber"":2453,""status"":""Borrowed""},{""copyNumber"":1736,""status"":""Borrowed""},{""copyNumber"":7483,""status"":""Borrowed""},{""copyNumber"":4552,""status"":""Borrowed""},{""copyNumber"":7383,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5143,""status"":""Available""},{""copyNumber"":6499,""status"":""Available""},{""copyNumber"":4769,""status"":""Borrowed""}]}]"
